Time,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity
Evening,Dewasa,Male,Employee,2-5yr,Other,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Unknown,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,5-10yr,Other,Owner,Public,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Moving Backward,Slight Injury
Evening,Dewasa,Unknown,Unknown,5-10yr,Other,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Public,One Way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving backward,3,Reckless Driving,Slight Injury
Late Night,Unknwon,Female,Employee,Above 10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,3,Turning,3,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Unknown,Employee,Below 1yr,Other,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,3,Moving forward,3,Other/Unknown,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,3,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Owner,5-10yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,3,Unknown,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Private Vehicle,Governmental,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Stationary Object Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Evening,Dewasa,Male,Employee,Above 10yr,Commercial Vehicle,Governmental,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,Above 10yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Male,Employee,Below 1yr,Other,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving backward,2,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Organization,Other,Other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,1,Moving forward,3,Distance & Priority Violation,Serious Injury
Morning,Remaja,Unknown,Employee,5-10yr,Commercial Vehicle,Governmental,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Morning,Lansia,Male,Employee,5-10yr,Other,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Evening,Dewasa,Male,Employee,1-2yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,No junction,Other,Wet or damp,Daylight,Normal,Vehicle Collision,1,1,Turning,3,Unsafe Driving,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Non-Motorized,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,3,Moving backward,3,Reckless Driving,Slight Injury
Late Night,Dewasa,Male,Employee,1-2yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,3,Moving forward,3,Unsafe Driving,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,1,3,Moving forward,3,Reckless Driving,Slight Injury
Afternoon,Dewasa,Male,Owner,1-2yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Turning,3,Distance & Priority Violation,Slight Injury
Evening,Remaja,Male,Employee,5-10yr,Other,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving backward,3,Reckless Driving,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Public,Other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle Collision,1,1,Moving forward,3,Moving Backward,Serious Injury
Afternoon,Dewasa,Unknown,Employee,5-10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Reckless Driving,Slight Injury
Late Night,Dewasa,Male,Owner,Below 1yr,Private Vehicle,Owner,Other,Other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,1,1,Moving backward,3,Unsafe Lane Change,Slight Injury
Morning,Dewasa,Male,Employee,Below 1yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Serious Injury
Morning,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Serious Injury
Evening,Remaja,Male,Employee,Below 1yr,Public Transport,Owner,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Pedestrian Collision,1,2,Moving forward,3,Reckless Driving,Serious Injury
Evening,Remaja,Male,Employee,2-5yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Pedestrian Collision,1,2,Stopping,3,Unsafe Lane Change,Serious Injury
Late Night,Dewasa,Unknown,Employee,2-5yr,Private Vehicle,Owner,Other,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Pedestrian Collision,1,4,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Stationary Object Collision,1,4,Moving forward,3,Reckless Driving,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,1,4,Unknown,3,Reckless Driving,Slight Injury
Late Night,Dewasa,Unknown,Owner,5-10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,1,4,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Other,Owner,Other,Other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,1,Distance & Priority Violation,Slight Injury
Morning,Remaja,Male,Owner,5-10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,1,1,Stopping,3,Other/Unknown,Slight Injury
Late Night,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Employee,Below 1yr,Public Transport,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,2,2,Moving forward,3,Reckless Driving,Slight Injury
Late Night,Dewasa,Male,Employee,1-2yr,Private Vehicle,Owner,Urban,Other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining and Windy,Stationary Object Collision,2,1,Moving backward,3,Other/Unknown,Slight Injury
Late Night,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Governmental,Public,Divided Road (Median),Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Darkness - lights lit,Raining and Windy,Vehicle Collision,2,1,Moving forward,3,Unsafe Driving,Slight Injury
Afternoon,Unknwon,Female,Employee,2-5yr,Commercial Vehicle,Owner,Other,Other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle Collision,2,2,Moving forward,3,Reckless Driving,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with rolling terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle Collision,2,2,Unknown,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Private Vehicle,Governmental,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle Collision,2,2,Moving forward,3,Moving Backward,Slight Injury
Evening,Remaja,Male,Unknown,5-10yr,,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Train Collision,2,1,Moving backward,3,Other/Unknown,Slight Injury
Evening,Remaja,Male,Employee,Above 10yr,Private Vehicle,Owner,Other,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Remaja,Male,Employee,Above 10yr,Public Transport,Governmental,Urban,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving backward,3,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Male,Owner,Above 10yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Lansia,Male,Employee,unknown,Other,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle Collision,2,3,Moving forward,2,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle Collision,2,3,Unknown,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Employee,2-5yr,Private Vehicle,Organization,Public,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle Collision,2,3,Moving forward,3,Unsafe Driving,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Employee,2-5yr,Public Transport,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Crossing,Gravel roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Moving Backward,Slight Injury
Evening,Lansia,Male,Owner,5-10yr,Private Vehicle,Owner,Urban,Other,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Turning,3,Speeding,Slight Injury
Evening,Dewasa,Male,Employee,Above 10yr,Other,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Pedestrian Collision,2,1,Moving forward,3,Moving Backward,Slight Injury
Late Night,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Unknown,Employee,2-5yr,Commercial Vehicle,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,3,Other/Unknown,Slight Injury
Afternoon,Lansia,Male,Owner,Above 10yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving backward,2,Distance & Priority Violation,Slight Injury
Afternoon,Lansia,Male,Employee,1-2yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Exiting,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Unknown,Employee,Above 10yr,Commercial Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,Other/Unknown,Slight Injury
Evening,Dewasa,Male,Unknown,5-10yr,,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,2,1,Exiting,3,Distance & Priority Violation,Slight Injury
Evening,Lansia,Male,Owner,5-10yr,Other,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Stationary Object Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving forward,3,Moving Backward,Slight Injury
Morning,Dewasa,Male,Employee,Above 10yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,1-2yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Moving Backward,Slight Injury
Morning,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle Collision,1,1,Moving forward,2,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,Below 1yr,Other,Owner,Other,One Way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,3,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Male,Employee,Above 10yr,Commercial Vehicle,Governmental,Public,Other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,3,Moving forward,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,1-2yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Pedestrian Collision,2,3,Moving forward,3,Other/Unknown,Slight Injury
Morning,Dewasa,Male,Employee,5-10yr,Other,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving backward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Unknwon,Female,Owner,Below 1yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Pedestrian Collision,3,1,Moving forward,3,Moving Backward,Slight Injury
Evening,Dewasa,Male,Unknown,5-10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,3,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Lansia,Unknown,Employee,Above 10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,3,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Male,Unknown,5-10yr,,Governmental,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,1,1,Moving forward,3,Distance & Priority Violation,Serious Injury
Late Night,Dewasa,Male,Employee,1-2yr,Private Vehicle,Owner,Urban,Other,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Stationary Object Collision,2,1,Moving forward,3,Reckless Driving,Serious Injury
Late Night,Dewasa,Male,Owner,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Stationary Object Collision,2,1,Moving forward,3,Improper Parking/Exit,Serious Injury
Evening,Dewasa,Male,Employee,unknown,Special Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Other,Wet or damp,Darkness - no lighting,Windy,Vehicle Collision,2,3,Moving forward,3,Reckless Driving,Slight Injury
